group,collection_name,collection_no,cc,state,early_interval,min_ma,max_ma,paleolng,paleolat,n_occs
amniote,Mouth of Godwin Creek,13044,US,Texas,Artinskian,279.3,290.1,-30.27,-1.15,1
amniote,I-70 Roadcut half mile East of Elm Grove,13049,US,West Virginia,Virgilian,298.9,303.4,-15.2,-3.5,1
amniote,Briar Creek,13080,US,Texas,Artinskian,279.3,290.1,-30.21,-1.18,5
amniote,Victoria West District,13083,ZA,Northern Cape,Artinskian,279.3,290.1,-47.63,-62.51,1
amniote,Platyhystrix pocket Locality,13257,US,Utah,Asselian,290.1,298.9,-35.77,6.4,2
amniote,OMNH V1005,13947,US,Oklahoma,Virgilian,298.9,303.4,-28.89,-2.47,2
amniote,Archer City Bonebed 3,22635,US,Texas,Wolfcamp,268,296.4,-30.01,-1.59,1
amniote,Thrift Bone Bed,22714,US,Texas,Artinskian,279.3,290.1,-29.78,-0.85,2
amniote,West Coffee Creek,22715,US,Texas,Kungurian,272.3,279.3,-28.93,1.81,1
amniote,Locality KF (Middle Vale Formation),27704,US,Texas,Kungurian,272.3,279.3,-29.19,1.89,4
amniote,"UCMP 39179, Jemez Canyon (Abo Formation)",28067,US,New Mexico,Wolfcamp,268,296.4,-34.43,4.24,3
amniote,"Elm Creek, 2 (Putnam Formation)",28120,US,Texas,Sakmarian,290.1,295.5,-30.26,-1.62,2
amniote,"Onion Creek, 3 (Putnam Formation)",28121,US,Texas,Sakmarian,290.1,295.5,-30.26,-1.62,1
amniote,"Three Forks of the Little Wichita, 5 (Putnam Formation)",28123,US,Texas,Sakmarian,290.1,295.5,-30.26,-1.62,2
amniote,"Shell Point, 6 (Putnam Formation)",28124,US,Texas,Sakmarian,290.1,295.5,-30.26,-1.62,2
amniote,"Long Creek, 7 (Putnam Formation)",28125,US,Texas,Sakmarian,290.1,295.5,-30.26,-1.62,2
amniote,"Middle Fork of the Little Wichita, 10 (Admiral Formation)",28141,US,Texas,Artinskian,279.3,290.1,-30.06,-1.3,3
amniote,"South of Holliday, 11 (Admiral Formation)",28239,US,Texas,Artinskian,279.3,290.1,-30,-1.09,2
amniote,"Mount Barry, 12 (Admiral Formation)",28142,US,Texas,Artinskian,279.3,290.1,-30,-1.09,8
amniote,"Godwin Creek, 14 (Admiral Formation)",28150,US,Texas,Artinskian,279.3,290.1,-30.27,-1.17,3
amniote,"Scalen's, 16 (Belle Plains Formation)",28240,US,Texas,Artinskian,279.3,290.1,-30.18,-1.06,1
amniote,"Cox's Camp, 17 (Belle Plains Formation)",28143,US,Texas,Artinskian,279.3,290.1,-30.18,-1.06,1
